S.No.,Date,Nepse Index Value,Absolute Change,Percent Change
987,10/17/2019,1137.75,0.71,0.06%
988,10/20/2019,1133.72,-4.03,-0.35%
989,10/21/2019,1132.4,-1.33,-0.12%
990,10/22/2019,1134.8,2.4,0.21%
991,10/23/2019,1142.6,7.79,0.69%
992,10/24/2019,1149.34,6.73,0.59%
993,10/31/2019,1146.17,-3.17,-0.28%
994,11/3/2019,1139.29,-6.88,-0.60%
995,11/4/2019,1140.26,0.97,0.09%
996,11/5/2019,1139.46,-0.81,-0.07%
997,11/6/2019,1138.02,-1.44,-0.13%
998,11/7/2019,1131.97,-6.05,-0.53%
999,11/10/2019,1131.8,-0.18,-0.02%
1000,11/11/2019,1145.57,13.77,1.22%
1001,11/12/2019,1139.96,-5.61,-0.49%
1002,11/13/2019,1135.16,-4.8,-0.42%
1003,11/14/2019,1135.95,0.79,0.07%
1004,11/17/2019,1131.36,-4.59,-0.40%
1005,11/18/2019,1131.13,-0.24,-0.02%
1006,11/19/2019,1129.99,-1.14,-0.10%
1007,11/20/2019,1128.34,-1.65,-0.15%
1008,11/21/2019,1120.6,-7.74,-0.69%
1009,11/24/2019,1110.08,-10.54,-0.94%
1010,11/25/2019,1110.08,0,0%
1011,11/26/2019,1109.17,-0.91,-0.08%
1012,11/27/2019,1117.46,8.3,0.75%
1013,11/28/2019,1112.79,-4.67,-0.42%
1014,12/1/2019,1112.86,0.07,0.01%
1015,12/2/2019,1111.99,-0.86,-0.08%
1016,12/3/2019,1115.75,3.75,0.34%
1017,12/4/2019,1124.47,8.73,0.78%
1018,12/5/2019,1131.92,7.45,0.66%
1019,12/8/2019,1135.38,3.45,0.31%
1020,12/9/2019,1148.89,13.51,1.19%
1021,12/10/2019,1151.37,2.48,0.22%
1022,12/11/2019,1161.48,10.11,0.88%
1023,12/12/2019,1172.65,11.17,0.96%
1024,12/15/2019,1167.87,-4.78,-0.41%
1025,12/16/2019,1154.12,-13.75,-1.18%
1026,12/17/2019,1155.38,1.26,0.11%
1027,12/18/2019,1152.07,-3.3,-0.29%
1028,12/19/2019,1149.65,-2.42,-0.21%
1029,12/22/2019,1150.82,1.17,0.10%
1030,12/23/2019,1168.58,17.77,1.54%
1031,12/24/2019,1166.22,-2.37,-0.20%
1032,12/25/2019,1168.04,1.82,0.16%
1033,12/26/2019,1167.42,-0.62,-0.05%
1034,12/29/2019,1162.43,-4.99,-0.43%
1035,12/30/2019,1167.96,5.53,0.48%
1036,12/31/2019,1166.04,-1.92,-0.16%
1037,1/1/2020,1169.5,3.47,0.30%
1038,1/2/2020,1166.22,-3.29,-0.28%
1039,1/5/2020,1182.31,16.09,1.38%
1040,1/6/2020,1200.7,18.26,1.54%
1041,1/7/2020,1216.93,16.23,1.35%
1042,1/8/2020,1209.6,-7.32,-0.60%
1043,1/9/2020,1213.12,3.51,0.29%
1044,1/12/2020,1255.72,42.61,3.51%
1045,1/13/2020,1270.87,15.14,1.21%
1046,1/14/2020,1263.38,-7.48,-0.59%
1047,1/15/2020,1284.23,20.85,1.65%
1048,1/16/2020,1310.23,26,2.02%
1049,1/19/2020,1343.66,33.43,2.55%
1050,1/20/2020,1317.12,-26.54,-1.98%
1051,1/21/2020,1320.47,3.36,0.26%
1052,1/22/2020,1313.42,-7.05,-0.53%
1053,1/23/2020,1297.48,-15.95,-1.21%
1054,1/26/2020,1276.68,-20.79,-1.60%
1055,1/27/2020,1300.63,23.95,1.88%
1056,1/28/2020,1306.15,5.52,0.42%
1057,1/29/2020,1305.88,-0.27,-0.02%
1058,1/30/2020,1325.39,19.51,1.49%
1059,2/2/2020,1346.65,21.26,1.60%
1060,2/3/2020,1349.14,2.49,0.18%
1061,2/4/2020,1337.05,-12.09,-0.90%
1062,2/5/2020,1342.36,5.31,0.40%
1063,2/6/2020,1333.69,-8.67,-0.65%
1064,2/9/2020,1319.99,-13.7,-1.03%
1065,2/10/2020,1324.27,4.28,0.32%
1066,2/11/2020,1341.38,17.11,1.29%
1067,2/12/2020,1345.98,4.6,0.34%
1068,2/13/2020,1344.59,-1.39,-0.10%
1069,2/16/2020,1363.98,19.39,1.44%
1070,2/17/2020,1398.24,34.26,2.51%
1071,2/18/2020,1400.01,1.77,0.13%
1072,2/19/2020,1405.26,5.24,0.37%
1073,2/20/2020,1434.58,29.32,2.09%
1074,2/23/2020,1504.14,69.56,4.85%
1075,2/24/2020,1502.18,-1.96,-0.13%
1076,2/25/2020,1545.2,43.02,2.86%
1077,2/26/2020,1596.13,50.93,3.30%
1078,2/27/2020,1632.18,36.05,2.26%
1079,3/1/2020,1591.36,-40.82,-2.50%
1080,3/2/2020,1495.3,-96.06,-6.04%
1081,3/3/2020,1509.68,14.37,0.96%
1082,3/4/2020,1441.2,-68.47,-4.54%
1083,3/5/2020,1435.7,-5.5,-0.38%
1084,3/10/2020,1349.32,-86.39,-6.02%
1085,3/11/2020,1423.09,73.78,5.47%
1086,3/12/2020,1377.18,-45.91,-3.23%
1087,3/15/2020,1313.04,-64.14,-4.66%
1088,3/16/2020,1316.4,3.35,0.26%
1089,3/17/2020,1272.07,-44.33,-3.37%
1090,3/18/2020,1255.8,-16.26,-1.28%
1091,3/19/2020,1269.31,13.5,1.08%
1092,3/22/2020,1251.46,-18.2,-1.43%
1093,5/12/2020,1226.16,-25.3,-2.02%
1094,5/13/2020,1201.58,-24.58,-2%
1095,6/29/2020,1196.35,-5.23,-0.43%
1096,6/30/2020,1260.76,72.05,6.06%
1097,7/1/2020,1336.53,75.77,6.01%
1098,7/2/2020,1256.11,-80.41,-6.02%
1099,7/5/2020,1265.46,9.35,0.74%
1100,7/6/2020,1298.73,33.27,2.63%
1101,7/7/2020,1336.67,37.93,2.92%
1102,7/8/2020,1326.54,-10.13,-0.76%
1103,7/12/2020,1340.29,9.02,0.68%
1104,7/13/2020,1342.41,2.12,0.16%
1105,7/14/2020,1347.45,5.04,0.38%
1106,7/16/2020,1394.77,32.42,2.38%
1107,7/19/2020,1479.03,84.26,6.04%
1108,7/20/2020,1464.94,-14.09,-0.95%
1109,7/21/2020,1449.95,-14.99,-1.02%
1110,7/22/2020,1432.45,-17.5,-1.21%
1111,7/23/2020,1442.62,10.13,0.71%
1112,7/26/2020,1465.11,22.4,1.55%
1113,7/27/2020,1462.48,-2.62,-0.18%
1114,7/28/2020,1454.89,-7.59,-0.52%
1115,7/29/2020,1431.53,-23.36,-1.61%
1116,7/30/2020,1439.06,7.53,0.53%
1117,8/2/2020,1396.28,-42.78,-2.97%
1118,8/3/2020,1403.87,7.59,0.54%
1119,8/5/2020,1382.67,-21.2,-1.51%
1120,8/6/2020,1381.38,-1.29,-0.09%
1121,8/9/2020,1392.68,11.3,0.82%
1122,8/10/2020,1430.42,37.74,2.71%
1123,8/11/2020,1423.81,-6.61,-0.46%
1124,8/12/2020,1425.32,1.51,0.11%
1125,8/13/2020,1408.79,-16.53,-1.16%
1126,8/16/2020,1391.46,-17.33,-1.23%
1127,8/17/2020,1402.22,10.75,0.77%
1128,8/18/2020,1407.9,5.68,0.41%
1129,8/19/2020,1391.3,-16.6,-1.18%
1130,8/20/2020,1397.57,6.28,0.45%
1131,8/23/2020,1410.34,12.77,0.91%
1132,8/24/2020,1431.61,21.26,1.51%
1133,8/25/2020,1440.94,9.34,0.65%
1134,8/26/2020,1462.04,21.1,1.46%
1135,8/27/2020,1458.04,-4,-0.27%
1136,8/31/2020,1484.99,22.31,1.53%
1137,9/2/2020,1510.57,25.58,1.72%
1138,9/3/2020,1510.42,-0.15,-0.01%
1139,9/6/2020,1499.98,-10.45,-0.69%
1140,9/7/2020,1487.81,-12.17,-0.81%
1141,9/8/2020,1495.16,7.35,0.49%
1142,9/9/2020,1508.21,13.05,0.87%
1143,9/10/2020,1520.69,12.49,0.83%
1144,9/13/2020,1537.25,16.56,1.09%
1145,9/14/2020,1540.51,3.26,0.21%
1146,9/15/2020,1536.04,-4.47,-0.29%
1147,9/16/2020,1541.4,5.36,0.35%
1148,9/17/2020,1572.19,30.78,2%
1149,9/20/2020,1575.18,3,0.19%
1150,9/21/2020,1569.06,-6.12,-0.39%
1151,9/22/2020,1546.16,-22.91,-1.46%
1152,9/23/2020,1555.53,9.37,0.61%
1153,9/24/2020,1561.27,5.74,0.37%
1154,9/27/2020,1565.56,4.29,0.27%
1155,9/28/2020,1560.83,-4.73,-0.30%
1156,9/29/2020,1553.62,-7.21,-0.46%
1157,9/30/2020,1550.43,-3.19,-0.21%
1158,10/1/2020,1571.04,20.61,1.33%
1159,10/4/2020,1585.76,14.71,0.94%
1160,10/5/2020,1582.13,-3.63,-0.23%
1161,10/6/2020,1586.29,4.17,0.26%
1162,10/7/2020,1600.98,14.68,0.93%
1163,10/8/2020,1589.64,-11.34,-0.71%
1164,10/11/2020,1576.27,-13.37,-0.84%
1165,10/12/2020,1578.01,1.74,0.11%
1166,10/13/2020,1568.59,-9.42,-0.60%
1167,10/14/2020,1561.17,-7.42,-0.47%
1168,10/15/2020,1562.46,1.29,0.08%
1169,10/18/2020,1556.8,-5.66,-0.36%
1170,10/19/2020,1570.38,13.58,0.87%
1171,10/20/2020,1583.61,13.22,0.84%
1172,10/21/2020,1597.72,13.94,0.88%
1173,10/22/2020,1606.26,8.54,0.53%
1174,10/28/2020,1647.46,41.2,2.57%
1175,10/29/2020,1645.68,-1.78,-0.11%
1176,11/1/2020,1640.96,-4.72,-0.29%
1177,11/2/2020,1637.63,-3.33,-0.20%
1178,11/3/2020,1643.04,5.4,0.33%
1179,11/4/2020,1640.64,-2.39,-0.15%
1180,11/5/2020,1636.17,-4.47,-0.27%
1181,11/8/2020,1648.58,12.49,0.76%
1182,11/9/2020,1652.81,4.22,0.26%
1183,11/10/2020,1678.79,25.98,1.57%
1184,11/11/2020,1707.68,28.89,1.72%
1185,11/12/2020,1718.5,10.82,0.63%
1186,11/18/2020,1741.81,23.32,1.36%
1187,11/19/2020,1778.13,36.32,2.08%
1188,11/22/2020,1782.81,4.69,0.26%
1189,11/23/2020,1780.43,-2.38,-0.13%
1190,11/24/2020,1810.11,29.68,1.67%
1191,11/25/2020,1874.82,64.7,3.57%
1192,11/26/2020,1893.25,18.43,0.98%
1193,11/29/2020,1968.27,75.02,3.96%
1194,11/30/2020,1997.06,28.79,1.46%
1195,12/1/2020,2000.4,3.35,0.17%
1196,12/2/2020,2071.03,70.62,3.53%
1197,12/3/2020,2055.46,-15.57,-0.75%
1198,12/6/2020,1932.11,-123.34,-6%
1199,12/7/2020,2004.39,72.28,3.74%
1200,12/8/2020,1995.35,-9.04,-0.45%
1201,12/9/2020,1955.75,-39.6,-1.98%
1202,12/10/2020,1964.02,8.27,0.42%
1203,2020/12/13,2010.45,46.43,2.3642%
1204,2020/12/14,2067.17,56.72,2.8212%
