,S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price,Unnamed: 8,Unnamed: 9
0,1,2020-08-02,47,460.00,142790.00,320.00,291.00,320.0,,
1,2,2020-08-03,53,530.00,185860.00,352.00,326.00,352.0,,
2,3,2020-08-05,105,1050.00,405650.00,387.00,359.00,387.0,,
3,4,2020-08-06,3053,47242.00,20077060.00,425.00,394.00,425.0,,
4,5,2020-08-09,12805,199382.00,92141116.00,467.00,435.00,467.0,,
5,6,2020-08-10,9001,105025.00,53039445.00,513.00,490.00,513.0,,
6,7,2020-08-11,6043,82667.00,45463058.00,564.00,528.00,564.0,,
7,8,2020-08-12,4531,59385.00,32756319.00,580.00,540.00,543.0,,
8,9,2020-08-13,3652,78683.00,40828157.00,543.00,503.00,517.0,,
9,10,2020-08-16,2440,61448.00,30335482.00,509.00,480.00,492.0,,
10,11,2020-08-17,1355,24137.00,11756022.00,493.00,475.00,492.0,,
11,12,2020-08-18,1207,34107.00,16673580.00,500.00,483.00,486.0,,
12,13,2020-08-19,787,17845.00,8576370.00,510.00,477.00,479.0,,
13,14,2020-08-20,510,10821.00,5169714.00,481.00,474.00,480.0,,
14,15,2020-08-23,706,16824.00,8029014.00,482.00,471.00,482.0,,
15,16,2020-08-24,1289,40762.00,20278463.00,504.00,482.00,503.0,,
16,17,2020-08-25,1455,54317.00,27948082.00,521.00,500.00,519.0,,
17,18,2020-08-26,1381,47088.00,24811209.00,532.00,513.00,525.0,,
18,19,2020-08-27,1067,32244.00,16710005.00,535.00,512.00,515.0,,
19,20,2020-08-30,714,17340.00,8842115.00,515.00,506.00,513.0,,
20,21,2020-08-31,1453,69684.00,36671875.00,535.00,513.00,528.0,,
21,22,2020-09-02,1251,58298.00,30742207.00,537.00,508.00,519.0,,
22,23,2020-09-03,1066,24019.00,12297908.00,518.00,507.00,515.0,,
23,24,2020-09-06,1063,28580.00,14848145.00,540.00,508.00,515.0,,
24,25,2020-09-07,969,20247.00,10284250.00,512.00,502.00,511.0,,
25,26,2020-09-08,819,15173.00,7714239.00,530.00,500.00,512.0,,
26,27,2020-09-09,710,19878.00,10205076.00,518.00,505.00,517.0,,
27,28,2020-09-10,706,23875.00,12531772.00,540.00,516.00,525.0,,
28,29,2020-09-13,1070,44569.00,23594787.00,540.00,516.00,533.0,,
29,30,2020-09-14,917,33659.00,17918056.00,559.00,524.00,528.0,,
30,31,2020-09-15,749,16206.00,8474356.00,528.00,520.00,523.0,,
