Symbol,LTP,LTV,% Change,High,Low,Open,Qty.
SCB,662.0,180,0.15,672.0,655.0,672.0,44307
SDLBSL,1290.0,10,0.08,1300.0,1235.0,1300.0,7302
SEF,10.45,43650,-0.85,10.54,10.28,10.47,624350
SFCL,128.0,100,-3.76,133.0,122.0,133.0,45630
SFMF,10.1,1500,0.0,10.2,10.1,10.2,4100
SGI,598.0,10,-1.64,606.0,595.0,601.0,11154
SHINE,271.0,22,-0.37,279.0,271.0,277.0,54530
SHIVM,1309.0,40,-1.28,1350.0,1301.0,1330.0,104251
SHL,204.0,100,-0.97,207.0,203.0,204.0,11063
SHPC,354.0,3000,-0.56,373.0,352.0,373.0,68619
SIC,990.0,50,-2.56,1010.0,970.0,1010.0,21734
SICL,1714.0,150,-1.49,1779.0,1685.0,1774.0,97977
SIFC,208.0,620,4.52,208.0,199.0,200.0,11308
SIL,875.0,76,0.0,875.0,849.0,858.0,20981
SINDU,156.0,973,-1.89,162.0,156.0,160.0,2809
SJCL,267.0,10,-3.26,276.0,256.0,271.0,52043
SKBBL,1776.0,30,1.49,1776.0,1735.0,1750.0,37103
SLBBL,1149.0,100,0.09,1229.0,1120.0,1133.0,32683
SLBS,1430.0,18,5.38,1492.0,1355.0,1357.0,12173
SLBSL,1022.0,13,2.4,1065.0,1000.0,1017.0,6580
SLICL,735.0,150,-0.68,747.0,716.0,730.0,83159
SMB,1110.0,11,0.91,1145.0,1100.0,1122.0,2547
SMFBS,1414.0,29,1.73,1499.0,1341.0,1390.0,2939
SMFDB,1037.0,100,3.49,1065.0,1000.0,1000.0,39062
SNLB,1042.0,12,6.22,1079.0,985.0,1000.0,19556
SPDL,221.0,510,-3.49,229.0,221.0,226.0,53032
SRBL,262.0,10,0.0,268.0,258.0,262.0,130403
SSHL,153.0,10,-1.29,155.0,148.0,153.0,69225
STC,5423.0,10,-2.73,5686.0,5355.0,5686.0,700
SWBBL,1765.0,100,-1.12,1825.0,1732.0,1767.0,21123
TRH,315.0,245,-1.25,320.0,313.0,314.0,13312
UFL,233.0,90,-2.92,243.0,233.0,243.0,3120
UIC,471.0,70,0.0,486.0,470.0,470.0,60316
UMHL,159.0,10,0.0,162.0,156.0,162.0,40080
UNHPL,115.0,50,-1.71,116.0,113.0,115.0,17045
UNL,19200.0,10,-0.26,19500.0,19200.0,19250.0,100
UPCL,133.0,100,-2.21,138.0,132.0,135.0,73844
UPPER,420.0,200,-4.98,438.0,417.0,438.0,258361
USLB,1370.0,15,-2.14,1416.0,1340.0,1400.0,6648
VLBS,1250.0,10,1.54,1304.0,1190.0,1250.0,15332
